title,authors,journal,year,doi,pubmed_id,ifc_url,has_abstract,text_length,index,umap_x,umap_y,id
An automatic representation of peptides for effective antimicrobial activity classification,"Beltran, J. A., Del Rio, G., & Brizuela, C. A.","Computational and Structural Biotechnology Journal, 18, 455?463",2020,10.1016/j.csbj.2020.02.002,32180904,https://www.ifc.unam.mx/publicacion.php?ut=000607742800020,True,1407,0,2.1624055,1.2209276,pub_0_79cfec82
Telomere length and oxidative stress variations in a murine model of Alzheimer?s disease progression,"Martínez?González, K., Islas?Hernández, A., Martínez?Ezquerro, J. D., Bermúdez?Rattoni, F., & Garcia?delaTorre, P.","European Journal of Neuroscience, 52(12), 4863?4874",2020,10.1111/ejn.14877,32594585,https://www.ifc.unam.mx/publicacion.php?ut=000603737000019,True,1335,1,5.596617,3.02883,pub_1_5725e509
"Transcriptional, Behavioral and Biochemical Profiling in the 3xTg-AD Mouse Model Reveals a Specific Signature of Amyloid Deposition and Functional Decline in Alzheimer?s Disease","Yin, W., Cerda-Hernández, N., Castillo-Morales, A., Ruiz-Tejada-Segura, M. L., Monzón-Sandoval, J., Moreno-Castilla, P., ? Gutiérrez, H.","Frontiers in Neuroscience, 14",2020,10.3389/fnins.2020.602642,33390887,https://www.ifc.unam.mx/publicacion.php?ut=000603730200001,True,1965,2,5.8424916,3.13659,pub_2_b5e95669
Regulation of bacterial ATP synthase activity: A gear?shifting or a pawl?ratchet mechanism? The FEBS Journal,"Miranda?Astudillo, H., Zarco?Zavala, M., García?Trejo, J. J., & González?Halphen, D.",doi:10,2020,10.1111/febs.15671,33377595,https://www.ifc.unam.mx/publicacion.php?ut=000603403000001,True,1013,3,1.1087255,2.465017,pub_3_e7eee87f
Dynamic Regulation of Peroxisomes and Mitochondria during Fungal Development,"Navarro-Espíndola, R., Suaste-Olmos, F., & Peraza-Reyes, L.","Journal of Fungi, 6(4), 302",2020,10.3390/jof6040302,33233491,https://www.ifc.unam.mx/publicacion.php?ut=000601905800001,True,1570,4,1.1474303,4.011093,pub_4_6f5ab131
"Effect of docosahexaenoic acid, phorbol myristate acetate, and insulin on the interaction of the FFA4 (short isoform) receptor with Rab proteins","Flores-Espinoza, E., Meizoso-Huesca, A., Villegas-Comonfort, S., Reyes-Cruz, G., & García-Sáinz, J. A.","European Journal of Pharmacology, 889, 173595",2020,10.1016/j.ejphar.2020.173595,32986985,https://www.ifc.unam.mx/publicacion.php?ut=000598914700009,True,1837,5,5.2452583,5.266512,pub_5_b6791548
TRPV1 Channel: A Noxious Signal Transducer That Affects Mitochondrial Function,"Juárez-Contreras, R., Méndez-Reséndiz, K. A., Rosenbaum, T., González-Ramírez, R., & Morales-Lázaro, S. L.","International Journal of Molecular Sciences, 21(23), 8882",2020,10.3390/ijms21238882,33255148,https://www.ifc.unam.mx/publicacion.php?ut=000598013100001,True,1127,6,4.3782535,6.646706,pub_6_648fa726
Heterogeneous expression of CFTR in insulin-secreting ?-cells of the normal human islet,"Di Fulvio, M., Bogdani, M., Velasco, M., McMillen, T. S., Ridaura, C., Kelly, L., ? Aguilar-Bryan, L.","PLOS ONE, 15(12), e0242749",2020,10.1371/journal.pone.0242749,33264332,https://www.ifc.unam.mx/publicacion.php?ut=000596569200058,True,1884,7,6.2546444,4.98616,pub_7_609cce3f
Novel murine mAbs define specific and cross-reactive epitopes on the latex profilin panallergen Hev b 8,"Mares-Mejía, I., García-Ramírez, B., Torres-Larios, A., Rodríguez-Hernández, A., Osornio-Hernández, A. I., Terán-Olvera, G., ? Rodríguez-Romero, A.","Molecular Immunology, 128, 10?21",2020,10.1016/j.molimm.2020.09.017,33045539,https://www.ifc.unam.mx/publicacion.php?ut=000596249500002,True,1904,8,3.0906248,0.5080337,pub_8_9ca9b3f6
Early motor deficits in the phalangeal fine movements induced by chronic AMPA infusion in the rat spinal cord assessed by a novel method: Phalangeal tension recording test,"Colín, E., Ramírez-Jarquín, U. N., & Tapia, R.","Neuroscience Letters, 739, 135411",2020,10.1016/j.neulet.2020.135411,33086093,https://www.ifc.unam.mx/publicacion.php?ut=000595874900001,True,1834,9,6.7828627,1.7553649,pub_9_832814d5
